run_id,case_id,variant_id,domain,design_family,key_failure_mode,n_claims,mean_claim_score,supported_rate,partial_rate,unsupported_rate,contradicted_rate,inconsistency_rate,critical_issue_rate,supported_causal_claims,no_solution_honest
RUN_20260527_225443_13_openclaw_deepseekv4pro_isolated,C005,perturbed,platform_economics,field_experiment,endogenous_exposure,7,0.5714,0.5714,0.0,0.2857,0.1429,0.4286,0.1429,2,
RUN_20260527_225838_14_openclaw_deepseekv4pro_isolated,C005,no_solution,platform_economics,field_experiment,endogenous_exposure,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,yes
RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated,C008,level2,public_econ,DID,timing_endogeneity,10,0.95,0.9,0.1,0.0,0.0,0.1,0.0,3,
RUN_20260527_230906_16_openclaw_deepseekv4pro_isolated,C008,level3,public_econ,DID,timing_endogeneity,8,0.9375,0.875,0.125,0.0,0.0,0.125,0.0,1,
RUN_20260527_231251_17_openclaw_deepseekv4pro_isolated,C008,perturbed,public_econ,DID,timing_endogeneity,8,0.75,0.75,0.0,0.25,0.0,0.25,0.125,0,
RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated,C010,level2,development,mechanism_experiment,mechanism_confounding,9,0.7222,0.6667,0.1111,0.2222,0.0,0.3333,0.1111,4,
RUN_20260527_232025_19_openclaw_deepseekv4pro_isolated,C010,level3,development,mechanism_experiment,mechanism_confounding,10,0.85,0.7,0.3,0.0,0.0,0.3,0.0,2,
RUN_20260527_232448_20_openclaw_deepseekv4pro_isolated,C010,perturbed,development,mechanism_experiment,mechanism_confounding,7,0.7857,0.7143,0.1429,0.1429,0.0,0.2857,0.1429,1,
RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated,C014,level2,political_econ,field_experiment,measurement_error,10,0.8,0.7,0.2,0.1,0.0,0.3,0.0,3,
RUN_20260527_233158_22_openclaw_deepseekv4pro_isolated,C014,level3,political_econ,field_experiment,measurement_error,10,0.75,0.6,0.3,0.1,0.0,0.4,0.0,3,
RUN_20260527_233717_23_openclaw_deepseekv4pro_isolated,C014,perturbed,political_econ,field_experiment,measurement_error,8,0.375,0.375,0.0,0.375,0.25,0.625,0.25,3,
RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated,C016,level2,health,field_experiment,measurement_error,10,0.45,0.2,0.5,0.3,0.0,0.8,0.1,1,
RUN_20260527_234511_25_openclaw_deepseekv4pro_isolated,C016,level3,health,field_experiment,measurement_error,8,0.875,0.75,0.25,0.0,0.0,0.25,0.0,1,
RUN_20260527_235045_26_openclaw_deepseekv4pro_isolated,C016,perturbed,health,field_experiment,measurement_error,7,0.7857,0.7143,0.1429,0.0,0.1429,0.2857,0.1429,3,
RUN_20260527_235457_27_openclaw_deepseekv4pro_isolated,C016,no_solution,health,field_experiment,measurement_error,11,0.9545,0.9091,0.0909,0.0,0.0,0.0909,0.0,0,yes
RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated,C019,level2,marketing,IV,endogenous_exposure,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,
RUN_20260528_000312_29_openclaw_deepseekv4pro_isolated,C019,level3,marketing,IV,endogenous_exposure,7,0.8571,0.7143,0.2857,0.0,0.0,0.2857,0.0,5,
RUN_20260528_000656_30_openclaw_deepseekv4pro_isolated,C019,perturbed,marketing,IV,endogenous_exposure,7,0.7857,0.7143,0.1429,0.1429,0.0,0.2857,0.0,3,
RUN_20260528_001055_31_openclaw_deepseekv4pro_isolated,C020,level2,marketing,field_experiment,mechanism_confounding,8,0.8125,0.75,0.125,0.125,0.0,0.25,0.0,3,
RUN_20260528_001414_32_openclaw_deepseekv4pro_isolated,C020,level3,marketing,field_experiment,mechanism_confounding,8,0.5,0.5,0.0,0.5,0.0,0.5,0.0,4,
RUN_20260528_001721_33_openclaw_deepseekv4pro_isolated,C020,perturbed,marketing,field_experiment,mechanism_confounding,9,0.8889,0.8889,0.0,0.1111,0.0,0.1111,0.0,3,
RUN_20260528_002016_34_openclaw_deepseekv4pro_isolated,C020,no_solution,marketing,field_experiment,mechanism_confounding,9,0.8889,0.8889,0.0,0.0,0.1111,0.1111,0.1111,0,yes
RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,C001,perturbed,behavioral,mechanism_experiment,mechanism_confounding,8,0.8125,0.75,0.125,0.0,0.125,0.25,0.125,0,
RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,C001,no_solution,behavioral,mechanism_experiment,mechanism_confounding,8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,yes
