case_id,variant_id,level,agent_variant,run_id,claim_id,claim_type,agent_claim,cited_evidence,confidence,what_would_falsify_this_claim,verbatim_quote,source_section,raw_output_file,notes
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL005,Causal (M4),Future-credit access incentives causally affect current repayment.,Significant γ₄ in future-access extension; orthogonal assignment of future-access terms.,High (if assignment is random and information-separated),No difference in current repayment by future-access assignment; or information leakage to current stage.,Future-credit access incentives causally affect current repayment.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL006,Causal decomposition,The total repayment difference across Z_pre arms is decomposable into selection and incentive components.,Sum of γ₁ (residual selection) + observed compositional shift + γ₂-based incentive channel matches observed total difference.,High (under A1–A5),Decomposition terms do not sum to observed total; or alternative decomposition methods produce qualitatively different allocations.,The total repayment difference across Z_pre arms is decomposable into selection and incentive components.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL007,Descriptive pattern,Observably riskier borrowers are differentially selected into the accepted pool under less generous Z_pre.,Interaction of Z_pre with pre-offer risk score in take-up equation; risk-gradient plot across Z_pre arms.,Moderate,Risk gradient is flat or goes in the opposite direction.,Observably riskier borrowers are differentially selected into the accepted pool under less generous Z_pre.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL008,Descriptive / diagnostic,The lender's internal risk score is a valid proxy for repayment propensity.,Correlation between pre-offer risk score and realized repayment among a holdout or pre-study sample.,Moderate,Risk score does not predict repayment in pre-study data; or correlation reverses in study period.,The lender's internal risk score is a valid proxy for repayment propensity.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL009,Diagnostic,Attrition from the repayment sample is unrelated to treatment assignment.,Attrition rates do not differ significantly across Z_pre or Z_post arms.,Moderate,Significant differential attrition by treatment arm; Lee bounds include zero but are wide.,Attrition from the repayment sample is unrelated to treatment assignment.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level2,level2,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL010,Assumption (A4),Borrowers do not share assignment information with each other.,Absence of spatial or temporal clustering of outcomes; neighbors' assignments do not predict own outcomes.,Moderate,Significant spatial autocorrelation of outcomes; neighbors' Z_pre or Z_post predict own Y_takeup or Y_repay.,Borrowers do not share assignment information with each other.,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level3,level3,benchmark_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated_CL001,Causal (ITT),Pre-borrowing offer terms causally affect take-up rates,"Stage-1 randomization: difference in \(P(A_i=1)\) across \(Z_i\) arms, F-test for joint significance",High (randomized),Randomization balance failure; evidence of manipulation or noncompliance that is not random,**C1:** Pre-borrowing offer terms causally affect take-up rates,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level3,level3,benchmark_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated_CL002,Causal (compositional),Pre-borrowing offer terms sort borrowers on observable risk characteristics,Stage-1 randomization: difference in mean \(X_i\) across \(Z_i\) arms within the accepted sample,High (randomized),No detectable compositional shift — implies either homogeneous take-up elasticity or limited scope for selection on observables,**C2:** Pre-borrowing offer terms sort borrowers on observable risk characteristics,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level3,level3,benchmark_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated_CL003,Causal (local treatment effect),Post-acceptance contract terms causally affect repayment among acceptors,"Stage-2 randomization: difference in \(E[Y_i \mid A_i=1]\) across \(D_i\) arms, orthogonal to \(Z_i\)","High (randomized, conditional on firewall holding)",Anticipation detected (borrowers predict \(D_i\) at take-up); differential attrition by \(D_i\) arm; imbalance in pre-acceptance \(X_i\) across \(D_i\) arms,**C3:** Post-acceptance contract terms causally affect repayment among acceptors,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level3,level3,benchmark_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated_CL004,Mechanism,Selection and incentive channels are empirically separable,Cross-randomization: \(Z_i \perp D_i\) ensures that variation in \(Z_i\) affects only selection and variation in \(D_i\) affects only incentives; interaction term \(Z_i \times D_i\) is zero in repayment equation,Moderate (requires firewall + no interaction),Significant \(Z_i \times D_i\) interaction in repayment equation; anticipation detected; learning effects in repeat borrowers,**C4:** Selection and incentive channels are empirically separable,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level3,level3,benchmark_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated_CL005,Causal (if \(F_i\) randomized),Future-credit incentives alter current repayment behavior independently of current burden,Stage-3 randomization of \(F_i\) orthogonal to \(D_i\): coefficient on \(F_i\) in repayment equation with \(D_i\) controlled,Moderate (depends on whether \(F_i\) randomization is feasible and firewall extends to future terms),Interaction between \(F_i\) and \(D_i\) suggests channels are not independent; borrowers may not understand or respond to future incentives,**C5:** Future-credit incentives alter current repayment behavior independently of current burden,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level3,level3,benchmark_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated_CL006,Descriptive decomposition,The selection channel accounts for X% of the total repayment difference across offer arms,"Decomposition: reduced-form \(\pi_k\) (from \(Z_i\) variation) minus incentive effect \(\beta_m\) (from \(D_i\) variation), appropriately scaled",Moderate (requires mapping between \(Z_i\) and \(D_i\) levels; valid only under firewall),Firewall failure; nonlinearities in the \(Z \to Y\) relationship that do not decompose additively,**C6:** The selection channel accounts for X% of the total repayment difference across offer arms,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,level3,level3,benchmark_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated_CL007,Cannot be claimed,Results generalize to other borrower populations or market settings,None available — the design is internal to a single lender's population,N/A,"Evidence of external validity would require multi-lender or multi-market replication, not available in this packet",**C7:** Results generalize to other borrower populations or market settings,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL001,Causal,Initial offers affect take-up,Difference in application rates across randomized offer arms,High (if randomization successful),"No detectable difference in take-up across offer arms (balance tests pass, but no first stage)",C1: Initial offers affect take-up,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL002,Causal for observables; descriptive for unobservables,The composition of borrowers differs by initial offer arm,Differences in observable risk characteristics between acceptors in different offer arms,Medium-High,No detectable difference in any observable characteristic across arms (suggests no selection on observables; unobservables still possible),C2: The composition of borrowers differs by initial offer arm,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL003,Causal,Post-acceptance ε shock causally affects repayment,Within-offer-arm comparison of repayment across randomized ε levels,High (if ε is successfully randomized post-acceptance),ε fails balance tests; ε is predictable from pre-acceptance information; ε assignment is non-compliant,C3: Post-acceptance ε shock causally affects repayment,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL004,Causal (if C3 holds),Incentive effect is non-zero,δ₁ ≠ 0 in the interacted model on randomized ε,High (conditional on design integrity),δ₁ = 0 with tight confidence intervals,C4: Incentive effect is non-zero,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL005,Causal (if initial offer randomization and ε randomization both hold),Selection effect is non-zero,δ₂ ≠ 0 in the interacted model (compositional difference at constant ε),Medium-High,δ₂ = 0; suggests no detectable selection despite first-stage take-up effect (possible if marginal borrowers are identical to infra-marginal),C5: Selection effect is non-zero,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL006,Causal (if both randomizations hold),Selection and incentive channels are separable,δ₃ = 0 in the interacted model (no interaction between offer arm and ε),Medium,"δ₃ ≠ 0; implies the incentive effect differs by borrower pool, suggesting non-separability or that the perturbation creates differential anticipation",C6: Selection and incentive channels are separable,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL007,Logical/analytical,The perturbation weakens identification relative to the base design,Theoretical argument + comparison of required assumptions with vs. without the perturbation,High,A design is proposed that achieves identical identification without additional assumptions under the perturbation (no such design is known),C7: The perturbation weakens identification relative to the base design,Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C002,perturbed,perturbed,benchmark_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated_CL008,Analytical,"Without post-acceptance randomization, point identification is not possible",Nonparametric identification analysis: the selection equation and incentive equation share the same variation in final terms,High (under standard nonparametric identification criteria),Discovery of a valid instrument or natural experiment providing exogenous variation in final terms orthogonal to selection,"C8: Without post-acceptance randomization, point identification is not possible",Claim-Evidence Table,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C004,level2,level2,benchmark_isolated,RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated,RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated_CL001,Causal (intent-to-treat),Paid-search availability causes an increase in total market-level purchases,"\( \hat{\delta} > 0 \) with \( p < 0.05 \) in primary specification, robust to alternative specifications",Conditional on parallel pre-trends,\( \hat{\delta} \approx 0 \) in primary specification; pre-trend divergence,Paid-search availability causes an increase in total market-level purchases,Claim-Evidence Table,outputs/raw_agent_logs/main/C004_level2_openclaw_RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C004,level2,level2,benchmark_isolated,RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated,RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated_CL002,Causal (segment-specific ITT),Paid search creates demand among less active users,"\( \hat{\delta}_{\text{low}} > 0 \) with \( p < 0.05 \) in segment specification, \( \hat{\delta}_{\text{high}} \approx 0 \)",Moderate (lower power at segment level),\( \hat{\delta}_{\text{low}} \approx 0 \); effect concentrated in high-activity segment instead,Paid search creates demand among less active users,Claim-Evidence Table,outputs/raw_agent_logs/main/C004_level2_openclaw_RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
C004,level2,level2,benchmark_isolated,RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated,RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated_CL003,Mechanism,Paid search primarily substitutes for other channels among active users,\( \hat{\delta}_{\text{high}} > 0 \) on total purchases but effect on search-attributed purchases exceeds effect on total purchases,Moderate (requires channel-level data for direct test),\( \hat{\delta}_{\text{high}} \approx 0 \); no gap between total and attributed effects,Paid search primarily substitutes for other channels among active users,Claim-Evidence Table,outputs/raw_agent_logs/main/C004_level2_openclaw_RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated.md,extracted_from_claim_evidence_table
