case_id,variant_id,level,agent_name,agent_variant,run_id,claim_id,claim_type,agent_claim,final_label,final_error_type,final_severity,adjudicator_id,adjudication_notes
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL004,Descriptive decomposition,The total giving effect can be decomposed into contact-margin and conditional-giving components,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL005,Descriptive association; suggestive of mechanism,Small gifts are differentially sensitive to pressure,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL006,Descriptive; consistent with mechanism but not a causal test,Genuine willingness accounts for giving that persists when avoidance is easy,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL007,Descriptive behavioral measure,The opt-out mechanism reveals avoidance preference,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL008,Robustness check,The results are not driven by solicitor-level confounds,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level2,level2,openclaw,benchmark_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated_CL009,Robustness check,The findings are not artifacts of spatial spillover,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL001,Causal (point-identified under random assignment),Solicitation-process conditions causally affect contact probability,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL002,Causal (point-identified under random assignment),Solicitation-process conditions causally affect unconditional giving,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL003,Causal (ITT) for contact-rate differences; mechanism inference for sorting vs. scheduling,"Advance notice enables sorting/avoidance, not just scheduling",partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL004,Pattern-of-evidence (not point-identified),Some giving under standard solicitation is pressure-driven,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL005,Correlational pattern,Contribution size is informative about pressure vs. genuine willingness,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL006,Descriptive / diagnostic,Contact selection is non-ignorable,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,level3,level3,openclaw,benchmark_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated_CL007,Diagnostic (failure to reject null of no spillover),Spillover effects are absent or small,partially_supported,Overclaim,minor,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL001,Descriptive association,Households receiving more intensive outreach are more likely to contribute,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL002,Descriptive diagnostic,Selection on observables partly explains the outreach-giving association,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL003,Sensitivity bound,Selection on unobservables could fully explain any remaining association,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL004,Descriptive,Prior donors are disproportionately targeted for intensive outreach,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL005,Descriptive diagnostic,Observed covariates are strongly imbalanced across outreach intensity levels,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL006,Descriptive,Solicitor identity explains meaningful variation in outreach allocation,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL007,Suggestive pattern analysis,Contribution patterns are consistent with either pressure or genuine demand,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,no_solution,no_solution,openclaw,benchmark_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated,RUN_20260528_174342_02_openclaw_deepseekv4pro_isolated_CL008,Methodological assessment,No credible causal claim can be made,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL001,Descriptive,Households that self-select into advance notice differ on observables from those that do not,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL002,Descriptive,Contact rates vary across self-selected pre-contact states,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL003,Descriptive (conditional association),Giving rates conditional on contact vary across pre-contact states,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL004,Descriptive with sensitivity analysis,The association between pre-contact state and giving is partially explained by observable covariates,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL005,Descriptive with mechanistic interpretation,The contribution amount distribution differs across pre-contact states in ways suggestive of different mechanisms (altruism vs. pressure),partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL006,Partial identification / bounds,"The social pressure effect on giving is bounded between [L, U]",supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL007,Sensitivity diagnostic,Selection on unobservables would need to be δ times as large as selection on observables to eliminate the observed association,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,benchmark_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated,RUN_20260528_173940_01_openclaw_deepseekv4pro_isolated_CL008,Causal,Pre-contact state choice causally affects giving,contradicted,Contradiction,critical,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL001,**Descriptive**,"Contribution rates differ systematically across the four groups defined by pre-contact choice × contact status, conditional on route, neighborhood, timing, and solicitor",supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL002,**Descriptive**,The gap in contribution rates between opt-in contacted (G₁) and opt-out contacted (G₃) is positive and statistically significant,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL003,**Descriptive**,Households that signal avoidance and are nonetheless contacted (G₃) contribute at a lower rate than households that sought advance notice and are contacted (G₁),supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL004,**Descriptive / Interpretive**,The small-contribution share is higher among opt-out contacted (G₃) than among opt-in contacted (G₁),supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL005,**Partial Identification**,A lower bound on the pressure-attributable share of contacted giving is given by w · π̂_G₃,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL006,**Methodological**,"The perturbation (removal of researcher assignment of pre-contact conditions) precludes credible point identification of any causal effect of pre-contact notice, avoidance signals, or contact on giving",supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL007,**Methodological**,Solicitor identity and visit timing cannot serve as valid instruments for contact,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1,RUN_20260531_163414_01_openclaw_deepseekv4pro_researchagentv1_CL008,**Methodological / Recommendation**,The descriptive stratification is the strongest defensible analysis given the perturbation; causal claims must be downgraded,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v2_search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search_CL001,Descriptive/associational,"Households that opt in for advance notice differ from those that signal avoidance in their observed giving rates, contact rates, and contribution-size distributions.",supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v2_search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search_CL002,Descriptive/bounding,The difference in giving rates between pre-contact groups is bounded within an interval that can be derived under minimal assumptions (outcome is bounded; no assumption about selection).,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v2_search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search_CL003,Descriptive/bounding with untestable assumption,"Under the assumption that advance notice does not reduce giving for any household, the bounds on the ATE narrow to an interval with an informative lower bound.",supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v2_search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search_CL004,Descriptive/sensitivity,The observed difference in giving between pre-contact groups is robust to selection on unobservables up to sensitivity parameter Γ.,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v2_search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search_CL005,Descriptive/associational,Avoidance behavior is predictable from observable household and route characteristics.,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,research_agent_v2_search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search_CL006,Methodological calibration,No credible causal decomposition of giving into pressure and altruism mechanisms is possible under the perturbed packet conditions.,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v2_search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search,RUN_20260601_141101_01_openclaw_deepseekv4pro_researchagentv2search_CL007,Methodological calibration,"Matching on observable route, neighborhood, timing, and solicitor characteristics cannot recover causal effects because the core confound (willingness to engage) is unobserved and not proxied by these variables.",supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL001,Methodological,Point identification of the causal effect of pre-contact notice on giving is not possible from packet data,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL002,Methodological,Manski no-assumption bounds on the treatment effect of notice on giving are always valid,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL003,Methodological,"Lee trimming bounds are valid only under monotonicity, which is untestable from packet data and plausibly violated",supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL004,Methodological / empirical prediction,"The available observables (route, building, timing, solicitor) are too coarse to produce informative Oster bounds",supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL005,Methodological,Route/timing/solicitor variation does not provide a valid instrument for contact or notice receipt,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL006,Methodological,Neighbor communication and solicitor adaptation create SUTVA violations that bias comparisons between pre-contact conditions,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL007,Methodological / design,The descriptive decomposition (associational patterns by pre-contact choice) is the credible empirical fallback when all bound layers are uninformative,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL008,Interpretive,Any observed difference in giving between opt-in and opt-out households is consistent with both selection (baseline altruism differences) and causal effects of notice (social pressure),supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C001,perturbed,perturbed,openclaw,research_agent_v3_planner_debate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate,RUN_20260601_235821_01_openclaw_deepseekv4pro_researchagentv3plannerdebate_CL009,Methodological / design assessment,The primary research question (separating altruism from social pressure) is not answered by the design as constrained by the packet,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL001,Causal (ITT),Higher offer rates reduce take-up probability,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL002,Causal (selection),The borrower pool at higher offer rates differs in unobserved risk,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL003,Causal (ITT),Post-borrowing terms causally affect repayment,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL004,Causal (mechanism decomposition),Selection and incentive channels are separable,unsupported,Unsupported Claim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL005,Causal (heterogeneity),The incentive effect varies by the selected borrower pool,unsupported,Unsupported Claim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL006,Causal (heterogeneous selection),Borrowers with worse observables are more rate-sensitive in take-up,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL007,Descriptive,Observed borrower characteristics explain part of the repayment gap,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level1,level1,openclaw,benchmark_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated,RUN_20260529_112654_02_openclaw_deepseekv4pro_isolated_CL008,Causal,The repayment gap between high-rate and low-rate borrowers is not purely selection,partially_supported,Overclaim,major,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C002,level2,level2,openclaw,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL001,Causal,Pre-borrowing offer terms causally affect the take-up decision.,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level2,level2,openclaw,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL002,Causal (M1),Pre-borrowing offer terms causally shift the risk composition of accepted borrowers.,supported,none,,codex_adjudication_pass,No disagreement; final label matches both first-pass and second-pass judgments.
C002,level2,level2,openclaw,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL003,Causal (M2),Post-borrowing terms causally affect repayment behavior.,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
C002,level2,level2,openclaw,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL004,Causal (mechanism),Selection and incentive effects are additive (do not interact).,partially_supported,Overclaim,major,codex_adjudication_pass,Adopt the weaker label because the design motivates an interaction test but does not justify asserting additivity from the packet alone.
C002,level2,level2,openclaw,benchmark_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated_CL005,Causal (M4),Future-credit access incentives causally affect current repayment.,supported,none,,codex_adjudication_pass,Unsampled claim; final label inherits first-pass annotation.
