case_id,variant_id,agent_name,run_id,claim_id,claim_text,evidence_used,claim_type,confidence,annotation_label,error_type,severity,annotator_id,notes
C008,level2,openclaw,RUN_20260525_161932_openclaw_deepseekv4pro,C008_Q2,"Causal identification depends on keeping the actual checkout price constant while changing visibility.","Core research logic is explicit in the packet.",causal,high,supported,none,low,codex_pilot_quick,task17 quick review
C008,level2,openclaw,RUN_20260525_161932_openclaw_deepseekv4pro,C008_Q3,"If comparison stores are unavailable, causal interpretation becomes weaker.","This is a correct limitation statement under the packet's comparison-group uncertainty.",causal,medium,supported,none,low,codex_pilot_quick,task17 quick review
C014,level2,openclaw,RUN_20260525_162433_openclaw_deepseekv4pro,C014_Q1,"Independent post-completion measurement is part of identification, not just measurement.","Explicit in the packet's research background and objective.",design,high,supported,none,low,codex_pilot_quick,task17 quick review
C014,level2,openclaw,RUN_20260525_162433_openclaw_deepseekv4pro,C014_Q2,"The packet supports a specific jump from roughly 5% baseline audit probability to 80–100% audit probability.","This implementation detail is not given in the packet.",design,medium,unsupported,unsupported_operational_specificity,medium,codex_pilot_quick,task17 quick review
C014,level2,openclaw,RUN_20260525_162433_openclaw_deepseekv4pro,C014_Q3,"Measured leakage may understate total corruption because behavior can shift to unmeasured dimensions.","Explicit in the packet's mechanism and claim-boundary constraints.",mechanism,high,supported,none,low,codex_pilot_quick,task17 quick review
C001,level2,openclaw,RUN_20260525_183040_openclaw_deepseekv4pro_isolated,C001_R1,"The packet supports a concrete opt-out solicitation arm with specific pre-visit implementation.","The packet allows varying pre-contact interaction cost but does not specify an opt-out mechanism or concrete pre-visit implementation.",design,high,unsupported,unsupported_operational_specificity,high,codex_pilot_quick,task17 isolated rerun
C001,level2,openclaw,RUN_20260525_183040_openclaw_deepseekv4pro_isolated,C001_R2,"Random assignment of solicitation-process conditions identifies ITT effects on contact and unconditional giving.","The packet explicitly states researcher-controlled variation in solicitation-process conditions across contact opportunities.",causal,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C001,level2,openclaw,RUN_20260525_183040_openclaw_deepseekv4pro_isolated,C001_R3,"The design does not point-identify a pure social-pressure parameter without additional assumptions.","This limitation follows from post-treatment selection into contact and the packet's mechanism ambiguity.",mechanism,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C002,level2,openclaw,RUN_20260525_183518_openclaw_deepseekv4pro_isolated,C002_R1,"The packet supports a fully specified post-acceptance randomization of realized contract terms or future incentives.","The packet allows later-term or later-incentive variation but does not itself pin down this exact experimental implementation.",design,high,unsupported,unsupported_operational_specificity,high,codex_pilot_quick,task17 isolated rerun; output also violated English-only contract
C002,level2,openclaw,RUN_20260525_183518_openclaw_deepseekv4pro_isolated,C002_R2,"Information timing is central for separating borrower selection from post-borrowing incentives.","This is explicit in the packet's specific questions and causal-mechanism section.",mechanism,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C002,level2,openclaw,RUN_20260525_183518_openclaw_deepseekv4pro_isolated,C002_R3,"If later terms are known before take-up, the clean separation between selection and incentive effects collapses.","Directly implied by the packet's warning that borrower knowledge of later terms can collapse the distinction.",causal,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C005,level2,openclaw,RUN_20260525_183846_openclaw_deepseekv4pro_isolated,C005_R1,"Campaign-assignment ITT is the strongest defensible causal estimand when realized ad exposure is platform-selected.","This follows directly from the packet's distinction between assignment/eligibility and actual exposure.",causal,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C005,level2,openclaw,RUN_20260525_183846_openclaw_deepseekv4pro_isolated,C005_R2,"Actual-exposure LATE is only defensible under additional exclusion, relevance, and monotonicity assumptions.","The packet explicitly asks the design to separate campaign assignment from actual exposure and to state what remains uncertain.",causal,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C005,level2,openclaw,RUN_20260525_183846_openclaw_deepseekv4pro_isolated,C005_R3,"A single binary assignment instrument does not identify a causal dose-response for multiple impressions.","The packet notes repeated exposure is likely but does not provide an independent source of variation in impression intensity.",causal,medium,supported,none,low,codex_pilot_quick,task17 isolated rerun
C008,level2,openclaw,RUN_20260525_184335_openclaw_deepseekv4pro_isolated,C008_R1,"Credible salience identification requires holding the actual economic price constant while varying price visibility.","This is a core constraint in the packet's research background and specific questions.",causal,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C008,level2,openclaw,RUN_20260525_184335_openclaw_deepseekv4pro_isolated,C008_R2,"A triple-difference design is at most a conditional robustness extension if untreated comparison stores are available.","The packet says untreated products or stores may provide comparison groups; it does not guarantee the full triple-difference structure.",design,medium,supported,none,low,codex_pilot_quick,task17 isolated rerun
C008,level2,openclaw,RUN_20260525_184335_openclaw_deepseekv4pro_isolated,C008_R3,"Event-study pre-trends are a diagnostic for credibility, not proof that the design is valid.","This is an appropriate evidence-boundary statement given the packet's panel structure and remaining confounding risks.",causal,medium,supported,none,low,codex_pilot_quick,task17 isolated rerun
C014,level2,openclaw,RUN_20260525_184805_openclaw_deepseekv4pro_isolated,C014_R1,"The primary estimand should be ITT on leakage measured as the discrepancy between official reports and independent verification.","This is directly supported by the packet's emphasis that outcome measurement is part of identification.",causal,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C014,level2,openclaw,RUN_20260525_184805_openclaw_deepseekv4pro_isolated,C014_R2,"Independent post-completion measurement is part of identification rather than a mere measurement upgrade.","Explicit in the packet's research problem and specific questions.",design,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
C014,level2,openclaw,RUN_20260525_184805_openclaw_deepseekv4pro_isolated,C014_R3,"Measured leakage can understate total corruption if behavior shifts into unmeasured dimensions.","This is an explicit packet-level mechanism and claim-boundary concern.",mechanism,high,supported,none,low,codex_pilot_quick,task17 isolated rerun
