run_id,case_id,variant_id,level,agent_name,agent_variant,model,model_provider,openclaw_build_or_version,temperature,top_p,max_tokens,seed,tools_enabled,closed_book,channel,timestamp,input_file,raw_output_file,status,contamination_status,contamination_reason,notes
RUN_20260526_103353_01_openclaw_deepseekv4pro_isolated,C001,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-26T10:33:53+0800,benchmark/cases/C001_charitable_giving/agent_task_level2.md,outputs/raw_agent_logs/pilot/C001_level2_openclaw_RUN_20260526_103353_01_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1200; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260526_103939_02_openclaw_deepseekv4pro_isolated,C002,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-26T10:39:39+0800,benchmark/cases/C002_consumer_credit/agent_task_level2.md,outputs/raw_agent_logs/pilot/C002_level2_openclaw_RUN_20260526_103939_02_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1200; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260526_104449_01_openclaw_deepseekv4pro_isolated,Z999,level2,level2,openclaw,benchmark_isolated,unknown,unknown,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-26T10:44:49+0800,benchmark/cases/DOES_NOT_EXIST/agent_task_level2.md,outputs/raw_agent_logs/pilot/Z999_level2_openclaw_RUN_20260526_104449_01_openclaw_deepseekv4pro_isolated.md,runtime_fail,unknown,run did not complete successfully; contamination review pending,batch runner; timeout=1200; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated,C001,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T21:08:40+0800,benchmark/cases/C001_charitable_giving/agent_task_level2.md,outputs/raw_agent_logs/main/C001_level2_openclaw_RUN_20260527_210840_01_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated,C001,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T21:15:00+0800,benchmark/cases/C001_charitable_giving/agent_task_level3.md,outputs/raw_agent_logs/main/C001_level3_openclaw_RUN_20260527_211500_02_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_212831_03_openclaw_deepseekv4pro_isolated,C001,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T21:28:31+0800,benchmark/cases/C001_charitable_giving/agent_task_perturbed.md,outputs/raw_agent_logs/main/C001_perturbed_openclaw_RUN_20260527_212831_03_openclaw_deepseekv4pro_isolated.md,aborted,unknown,run did not complete successfully; contamination review pending,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_213612_04_openclaw_deepseekv4pro_isolated,C001,no_solution,no_solution,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T21:36:12+0800,benchmark/cases/C001_charitable_giving/agent_task_no_solution.md,outputs/raw_agent_logs/main/C001_no_solution_openclaw_RUN_20260527_213612_04_openclaw_deepseekv4pro_isolated.md,aborted,unknown,run did not complete successfully; contamination review pending,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated,C002,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T21:57:07+0800,benchmark/cases/C002_consumer_credit/agent_task_level2.md,outputs/raw_agent_logs/main/C002_level2_openclaw_RUN_20260527_215707_05_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated,C002,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:24:08+0800,benchmark/cases/C002_consumer_credit/agent_task_level3.md,outputs/raw_agent_logs/main/C002_level3_openclaw_RUN_20260527_222408_06_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated,C002,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:29:01+0800,benchmark/cases/C002_consumer_credit/agent_task_perturbed.md,outputs/raw_agent_logs/main/C002_perturbed_openclaw_RUN_20260527_222901_07_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated,C004,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:33:51+0800,benchmark/cases/C004_paid_search_effectiveness/agent_task_level2.md,outputs/raw_agent_logs/main/C004_level2_openclaw_RUN_20260527_223351_08_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_223821_09_openclaw_deepseekv4pro_isolated,C004,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:38:21+0800,benchmark/cases/C004_paid_search_effectiveness/agent_task_level3.md,outputs/raw_agent_logs/main/C004_level3_openclaw_RUN_20260527_223821_09_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_224310_10_openclaw_deepseekv4pro_isolated,C004,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:43:10+0800,benchmark/cases/C004_paid_search_effectiveness/agent_task_perturbed.md,outputs/raw_agent_logs/main/C004_perturbed_openclaw_RUN_20260527_224310_10_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated,C005,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:47:24+0800,benchmark/cases/C005_online_ad_measurement/agent_task_level2.md,outputs/raw_agent_logs/main/C005_level2_openclaw_RUN_20260527_224724_11_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_225055_12_openclaw_deepseekv4pro_isolated,C005,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:50:55+0800,benchmark/cases/C005_online_ad_measurement/agent_task_level3.md,outputs/raw_agent_logs/main/C005_level3_openclaw_RUN_20260527_225055_12_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_225443_13_openclaw_deepseekv4pro_isolated,C005,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:54:43+0800,benchmark/cases/C005_online_ad_measurement/agent_task_perturbed.md,outputs/raw_agent_logs/main/C005_perturbed_openclaw_RUN_20260527_225443_13_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_225838_14_openclaw_deepseekv4pro_isolated,C005,no_solution,no_solution,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T22:58:38+0800,benchmark/cases/C005_online_ad_measurement/agent_task_no_solution.md,outputs/raw_agent_logs/main/C005_no_solution_openclaw_RUN_20260527_225838_14_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated,C008,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:04:20+0800,benchmark/cases/C008_retail_tax_salience/agent_task_level2.md,outputs/raw_agent_logs/main/C008_level2_openclaw_RUN_20260527_230420_15_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_230906_16_openclaw_deepseekv4pro_isolated,C008,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:09:06+0800,benchmark/cases/C008_retail_tax_salience/agent_task_level3.md,outputs/raw_agent_logs/main/C008_level3_openclaw_RUN_20260527_230906_16_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_231251_17_openclaw_deepseekv4pro_isolated,C008,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:12:51+0800,benchmark/cases/C008_retail_tax_salience/agent_task_perturbed.md,outputs/raw_agent_logs/main/C008_perturbed_openclaw_RUN_20260527_231251_17_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated,C010,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:16:32+0800,benchmark/cases/C010_fertilizer_present_bias/agent_task_level2.md,outputs/raw_agent_logs/main/C010_level2_openclaw_RUN_20260527_231632_18_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_232025_19_openclaw_deepseekv4pro_isolated,C010,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:20:25+0800,benchmark/cases/C010_fertilizer_present_bias/agent_task_level3.md,outputs/raw_agent_logs/main/C010_level3_openclaw_RUN_20260527_232025_19_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_232448_20_openclaw_deepseekv4pro_isolated,C010,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:24:48+0800,benchmark/cases/C010_fertilizer_present_bias/agent_task_perturbed.md,outputs/raw_agent_logs/main/C010_perturbed_openclaw_RUN_20260527_232448_20_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated,C014,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:28:16+0800,benchmark/cases/C014_corruption_monitoring/agent_task_level2.md,outputs/raw_agent_logs/main/C014_level2_openclaw_RUN_20260527_232816_21_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_233158_22_openclaw_deepseekv4pro_isolated,C014,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:31:58+0800,benchmark/cases/C014_corruption_monitoring/agent_task_level3.md,outputs/raw_agent_logs/main/C014_level3_openclaw_RUN_20260527_233158_22_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_233717_23_openclaw_deepseekv4pro_isolated,C014,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:37:17+0800,benchmark/cases/C014_corruption_monitoring/agent_task_perturbed.md,outputs/raw_agent_logs/main/C014_perturbed_openclaw_RUN_20260527_233717_23_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated,C016,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:40:26+0800,benchmark/cases/C016_hiv_risk_information/agent_task_level2.md,outputs/raw_agent_logs/main/C016_level2_openclaw_RUN_20260527_234026_24_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_234511_25_openclaw_deepseekv4pro_isolated,C016,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:45:11+0800,benchmark/cases/C016_hiv_risk_information/agent_task_level3.md,outputs/raw_agent_logs/main/C016_level3_openclaw_RUN_20260527_234511_25_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_235045_26_openclaw_deepseekv4pro_isolated,C016,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:50:45+0800,benchmark/cases/C016_hiv_risk_information/agent_task_perturbed.md,outputs/raw_agent_logs/main/C016_perturbed_openclaw_RUN_20260527_235045_26_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_235457_27_openclaw_deepseekv4pro_isolated,C016,no_solution,no_solution,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:54:57+0800,benchmark/cases/C016_hiv_risk_information/agent_task_no_solution.md,outputs/raw_agent_logs/main/C016_no_solution_openclaw_RUN_20260527_235457_27_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated,C019,level2,level2,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-27T23:59:16+0800,benchmark/cases/C019_in_store_travel_distance/agent_task_level2.md,outputs/raw_agent_logs/main/C019_level2_openclaw_RUN_20260527_235916_28_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260528_000312_29_openclaw_deepseekv4pro_isolated,C019,level3,level3,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-28T00:03:12+0800,benchmark/cases/C019_in_store_travel_distance/agent_task_level3.md,outputs/raw_agent_logs/main/C019_level3_openclaw_RUN_20260528_000312_29_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
RUN_20260528_000656_30_openclaw_deepseekv4pro_isolated,C019,perturbed,perturbed,openclaw,benchmark_isolated,deepseek-v4-pro,deepseek,2026.5.5,not_supported,not_supported,not_supported,not_supported,locally_isolated_remote_tool_enabled,false,cli,2026-05-28T00:06:56+0800,benchmark/cases/C019_in_store_travel_distance/agent_task_perturbed.md,outputs/raw_agent_logs/main/C019_perturbed_openclaw_RUN_20260528_000656_30_openclaw_deepseekv4pro_isolated.md,success,unknown,pending manual content review; actual tool use=none,batch runner; timeout=1800; thinking=high; local-file-isolated; actual tool use=none; stderr captured
